Order_Id,Order_Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub_Category,Product Id,cost_price,List _price,Quantity,Discount Percent,total_cost
568,01-01-2022 00:00,Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,OFF-BI-10001107,70,80,7,4,490
8061,01-01-2022 00:00,Standard Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,Paper,OFF-PA-10001970,60,60,5,2,300
3442,01-01-2022 00:00,Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,OFF-PA-10002137,100,110,14,2,1400
3791,01-01-2022 00:00,Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001670,150,180,6,4,900
2472,01-01-2022 00:00,Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Bookcases,FUR-BO-10002213,410,450,4,3,1640
9663,01-01-2022 00:00,Standard Class,Home Office,United States,Santa Barbara,California,93101,West,Technology,Phones,TEC-PH-10001760,430,480,3,5,1290
1203,01-01-2022 00:00,Standard Class,Corporate,United States,Denver,Colorado,80219,West,Furniture,Chairs,FUR-CH-10002331,770,850,3,3,2310
4279,01-01-2022 00:00,Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Furniture,Furnishings,FUR-FU-10000550,10,10,2,3,20
8388,01-01-2022 00:00,Standard Class,Consumer,United States,Manchester,Connecticut,6040,East,Office Supplies,Storage,OFF-ST-10001328,60,80,5,4,300
6563,01-01-2022 00:00,Standard Class,Consumer,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Binders,OFF-BI-10001078,20,20,3,4,60
3778,01-01-2022 00:00,Standard Class,Home Office,United States,Chula Vista,California,91911,West,Furniture,Furnishings,FUR-FU-10002298,620,670,6,2,3720
5421,01-01-2022 00:00,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,TEC-PH-10002789,260,280,3,4,780
7972,01-01-2022 00:00,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10004227,30,30,3,3,90
6196,01-01-2022 00:00,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Technology,Phones,TEC-PH-10004165,300,330,2,3,600
7736,01-01-2022 00:00,Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Paper,OFF-PA-10001870,20,20,3,2,60
6693,01-01-2022 00:00,Second Class,Home Office,United States,Lake Charles,Louisiana,70601,South,Office Supplies,Binders,OFF-BI-10000632,420,480,11,2,4620
5817,02-01-2022 00:00,Same Day,Consumer,United States,Utica,New York,13501,East,Office Supplies,Binders,OFF-BI-10001078,10,10,3,3,30
8773,02-01-2022 00:00,First Class,Corporate,United States,Raleigh,North Carolina,27604,South,Office Supplies,Paper,OFF-PA-10001125,60,70,3,4,180
6299,02-01-2022 00:00,Standard Class,Corporate,United States,San Diego,California,92024,West,Office Supplies,Binders,OFF-BI-10001460,40,40,3,4,120
3713,02-01-2022 00:00,First Class,Consumer,United States,Seattle,Washington,98103,West,Technology,Accessories,TEC-AC-10000521,10,10,1,4,10
9101,02-01-2022 00:00,Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Accessories,TEC-AC-10003033,750,790,3,3,2250
5739,02-01-2022 00:00,Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10004233,30,40,3,5,90
4438,02-01-2022 00:00,Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Appliances,OFF-AP-10002403,20,30,3,5,60
237,02-01-2022 00:00,Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,OFF-PA-10002479,10,10,2,4,20
5712,02-01-2022 00:00,Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,OFF-PA-10003363,20,20,3,4,60
1666,02-01-2022 00:00,Second Class,Consumer,United States,Dallas,Texas,75217,Central,Office Supplies,Fasteners,OFF-FA-10002676,0,0,3,5,0
1927,02-01-2022 00:00,Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,TEC-PH-10001198,160,180,3,2,480
9184,02-01-2022 00:00,Standard Class,Consumer,United States,Westminster,California,92683,West,Office Supplies,Paper,OFF-PA-10001970,20,20,2,4,40
6619,02-01-2022 00:00,Second Class,Corporate,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,OFF-PA-10004983,30,30,5,4,150
7100,02-01-2022 00:00,Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,OFF-PA-10003302,170,210,6,2,1020
6221,02-01-2022 00:00,Standard Class,Consumer,United States,Trenton,Michigan,48183,Central,Office Supplies,Storage,OFF-ST-10000617,20,20,7,2,140
4214,02-01-2022 00:00,Second Class,Consumer,United States,Richmond,Kentucky,40475,South,Office Supplies,Paper,OFF-PA-10001363,20,20,2,2,40
2066,02-01-2022 00:00,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,Chairs,FUR-CH-10003833,130,150,3,2,390
2188,03-01-2022 00:00,Standard Class,Consumer,United States,Columbus,Indiana,47201,Central,Office Supplies,Envelopes,OFF-EN-10003134,60,70,6,2,360
7039,03-01-2022 00:00,Standard Class,Consumer,United States,Smyrna,Georgia,30080,South,Office Supplies,Art,OFF-AR-10003896,20,20,3,4,60
2865,03-01-2022 00:00,Same Day,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances,OFF-AP-10004249,70,80,7,4,490
3370,03-01-2022 00:00,Standard Class,Consumer,United States,Las Vegas,Nevada,89115,West,Office Supplies,Binders,OFF-BI-10002225,60,70,4,3,240
6542,03-01-2022 00:00,First Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Furnishings,FUR-FU-10003394,130,140,2,2,260
1721,03-01-2022 00:00,Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,OFF-BI-10002824,50,50,4,4,200
8691,03-01-2022 00:00,Standard Class,Corporate,United States,Akron,Ohio,44312,East,Technology,Phones,TEC-PH-10003580,230,260,2,3,460
3470,03-01-2022 00:00,Standard Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,OFF-PA-10001019,50,50,3,4,150
4708,03-01-2022 00:00,First Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10003091,840,900,5,5,4200
9303,03-01-2022 00:00,Second Class,Corporate,United States,Mcallen,Texas,78501,Central,Office Supplies,Art,OFF-AR-10003481,10,10,3,5,30
6911,03-01-2022 00:00,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Bookcases,FUR-BO-10004709,100,120,2,4,200
4145,03-01-2022 00:00,Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Art,OFF-AR-10001227,10,10,3,5,30
1941,03-01-2022 00:00,Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Furniture,Chairs,FUR-CH-10004287,580,660,3,5,1740
9226,03-01-2022 00:00,Same Day,Home Office,United States,Bryan,Texas,77803,Central,Office Supplies,Binders,OFF-BI-10004040,0,0,4,5,0
130,03-01-2022 00:00,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220,240,3,4,660
